codigo,nombre,tipo,precio,stock,fecha_ingreso
ty_001,Teclado Mecánico Razer BlackWidow,Periféricos,159.99,25,2024-01-15 09:30:00
ty_002,Mouse Gamer Logitech G502,Periféricos,89.99,40,2024-01-15 10:15:00
ty_003,Monitor Curvo 27" 144Hz,Monitores,349.99,15,2024-01-16 11:20:00
ty_004,Silla Gamer Ergonomica RX-500,Sillas,299.99,8,2024-01-16 14:45:00
ty_005,Headset HyperX Cloud II,Audio,99.99,30,2024-01-17 10:30:00
ty_006,Alfombrilla Gamer XL RGB,Accesorios,39.99,50,2024-01-17 16:20:00
ty_007,Control Xbox Series X Elite,Controles,149.99,20,2024-01-18 12:10:00
ty_008,Webcam Stream 1080p,Streaming,79.99,25,2024-01-18 15:30:00
ty_009,Microfono Blue Yeti,Audio,129.99,12,2024-01-19 09:45:00
ty_010,GPU NVIDIA RTX 4070,Componentes,599.99,5,2024-01-19 11:20:00
ty_011,Procesador Intel i9-13900K,Componentes,589.99,7,2024-01-20 13:15:00
ty_012,Memoria RAM DDR5 32GB RGB,Componentes,199.99,18,2024-01-20 14:50:00
ty_013,SSD NVMe 2TB High Speed,Almacenamiento,159.99,22,2024-01-21 10:25:00
ty_014,Case Gamer ATX con RGB,Gabinetes,129.99,14,2024-01-21 16:40:00
ty_015,Fuente Poder 850W Gold,Componentes,139.99,11,2024-01-22 08:30:00
ty_016,Kit Streaming Completo,Streaming,399.99,6,2024-01-22 12:15:00
ty_017,Tableta Gráfica Wacom,Streaming,199.99,9,2024-01-23 10:50:00
ty_018,Consola Nintendo Switch,Consolas,299.99,10,2024-01-23 15:20:00
ty_019,Volante Gamer Logitech G29,Simulación,249.99,8,2024-01-24 11:30:00
ty_020,Joystick Arcade Profesional,Accesorios,149.99,12,2024-01-24 17:45:00
